year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
1902,Earthquake,Ground movement,Guatemala,14,-91,1902,4,18,2000,25000,NA,Tsunami/Tidal wave,Richter,8
1905,Earthquake,Ground movement,India,32.04,76.16,1905,4,4,20000,25000,NA,NA,Richter,8
1906,Earthquake,Ground movement,Chile,33.05,71.4,1906,8,16,20000,100000,NA,Tsunami/Tidal wave,Richter,8
1907,Earthquake,Ground movement,China,38.5,69.9,1907,10,21,12000,NA,NA,NA,Richter,7
1909,Earthquake,Ground movement,France,44.05,6.14,1909,6,11,46,NA,NA,NA,Richter,6
1910,Earthquake,Ground movement,Costa Rica,9.8,-84,1910,4,13,1750,NA,NA,NA,Richter,NA
1910,Earthquake,Ground movement,Algeria,36,4,1910,6,24,12,NA,NA,NA,Richter,6
1914,Earthquake,Ground movement,Indonesia,-3.924,101.82,1914,6,26,20,NA,NA,Tsunami/Tidal wave,Richter,8
1917,Earthquake,Ground movement,China,28,104,1917,7,31,1800,NA,NA,NA,Richter,7
1917,Earthquake,Ground movement,Guatemala,14.38,-90.22,1917,12,25,2650,NA,NA,NA,Richter,6
1917,Earthquake,Ground movement,Indonesia,-7,116,1917,1,21,15000,NA,NA,NA,Richter,7
1918,Earthquake,Ground movement,China,23.5,117,1918,2,13,10000,NA,NA,Tsunami/Tidal wave,Richter,7
1920,Earthquake,Ground movement,China,36.888,105.606,1920,12,16,180000,25000,NA,"Slide (land, mud, snow, rock)",Richter,9
1922,Earthquake,Ground movement,Chile,-28.553,-70.755,1922,11,11,1000,NA,NA,Tsunami/Tidal wave,Richter,9
1923,Earthquake,Ground movement,China,31.295,100.75,1923,3,24,5000,NA,NA,NA,Richter,7
1924,Earthquake,Ground movement,Ecuador,-1.29,-78.52,1924,3,3,40,NA,NA,NA,Richter,7
1924,Earthquake,Ground movement,Indonesia,-7.21,109.56,1924,12,2,727,NA,NA,NA,Richter,NA
1925,Earthquake,Ground movement,China,25.713,100.422,1925,3,16,5000,NA,NA,NA,Richter,7
1927,Earthquake,Ground movement,Indonesia,-0.842,120.764,1927,12,1,50,NA,NA,Tsunami/Tidal wave,Richter,6
1927,Earthquake,Ground movement,China,37.645,102.489,1927,5,23,40912,NA,NA,NA,Richter,8
1932,Earthquake,Ground movement,Indonesia,0.5,126,1932,5,14,6,NA,NA,NA,Richter,7
1933,Earthquake,Ground movement,China,31.9,103.4,1933,8,25,10000,NA,NA,NA,Richter,8
